0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,Label
9.336179,32.801098,24.183523,20.15274,-21.77897,-8.701126,10.335824,40.377422,-24.052767,-8.957267,18.497627,38.232513,14.75429,-26.212105,5.182798,7.575603,33.03643,-21.704224,-15.484045,14.240692,10.798385,14.161238,47.295998,19.391205,-4.1600156,5.370149,9.957657,-4.945755,-8.270138,21.176065,0.45112917,-16.152372,15.897244,6.373451,-16.309393,7.8812075,32.551678,15.037911,3.1043026,0.84590256,-30.68164,-22.931725,23.616468,-12.687934,-42.102295,17.431925,30.969963,-2.698214,-5.965862,-14.188317,22.98777,4.570254,4.831397,-2.1011596,24.990543,19.404444,-21.794277,-16.660955,-4.6926694,-16.588392,7.8261676,-4.7705693,-2.4483628,-43.041756,9.817169,-10.497887,28.097956,17.34111,-53.15255,-22.42287,11.301812,32.95199,7.9487066,12.176708,-3.2878351,30.975113,-3.6023102,-13.755431,5.8116417,51.247875,31.974586,0.8246874,-23.968029,8.27035,-3.4318182,24.84063,17.469292,33.70174,-37.259045,68.11847,-10.243943,27.879543,-15.881059,14.413246,5.3533072,13.382916,18.681992,-2.6844442,-25.76163,-28.524666,27.173992,-9.195643,-22.962593,0.20327434,27.875753,26.277735,-34.571228,12.093815,-35.94287,11.598866,-26.82405,20.075993,-43.72901,45.10719,-11.609535,-30.510273,27.455202,-6.8867087,42.36165,8.976372,-23.447498,-0.19478855,-3.5374324,7.211781,-15.480513,-9.906188,12.852495,-19.791458,12.772451,0.1874161,-42.32833,10.466641,23.708101,-3.6223962,-1.5105242,-8.712519,2.2798116,-5.3238,-2.1220813,33.699703,15.231902,25.788939,20.965117,17.417702,-1.7465215,19.744139,-3.5456438,23.039766,-18.694988,-8.873196,22.25637,6.243883,9.443413,23.48047,-20.511707,3.5499427,13.502792,8.616666,-9.178376,-1.2433469,26.182835,41.748722,-0.8875444,28.644655,-31.998863,15.248545,3.9794426,0.97732157,9.5109625,-25.166882,-8.358948,46.197964,-28.009476,6.6288085,-56.39895,-43.693703,-26.944805,16.32639,-31.501007,20.95327,-26.771872,8.157094,-5.433487,6.6133704,2.9936807,10.079129,-10.159389,5.24423,7.232877,-9.8332615,-32.260807,-21.50791,AndresCalzada
6.4285808,8.023315,-62.81074,-16.045963,-13.308585,-13.319246,42.467854,-43.927647,42.914654,-0.016817,19.834152,26.471272,26.392824,-32.892887,-54.26623,-5.554525,32.599514,21.464087,-2.3637378,22.156832,-4.269776,-51.758423,49.632736,-4.151037,-7.782568,-6.187527,6.1692634,19.60498,23.915321,-10.4949665,10.886326,51.27407,-7.116048,5.700525,-8.399467,-2.6232538,28.118769,-32.59894,7.3213844,-32.000214,8.080747,10.899381,-35.733967,-10.7281475,19.357239,31.909826,-9.518651,-17.65099,-14.3166685,-15.332486,-2.5336065,-9.902755,14.133865,14.155154,-0.61738807,-19.019754,26.14792,-24.453453,24.844059,23.534336,1.5778867,1.1088316,1.5654113,-30.527966,-20.157505,32.453285,36.594086,14.804023,4.7255945,-12.241386,0.21342218,-8.417234,-10.208916,-56.37497,-7.3528147,-27.328272,20.577822,-36.51723,34.5007,16.678986,1.1303719,5.601705,-14.490331,-7.754403,-9.698817,7.866874,0.078067735,51.61812,-35.225613,4.366937,-12.729516,-28.381453,6.1993155,23.952139,9.455415,12.848041,50.767033,-35.208206,-11.945524,-16.570763,64.9854,4.1756387,-27.268261,-45.178112,-3.0223296,35.052082,-24.727283,-14.516892,-34.90023,-26.09734,-9.442611,-2.5233254,45.009205,23.598955,16.737547,3.0502033,0.5381045,17.966862,-9.028671,16.158684,-25.775003,2.4018428,-18.570011,2.9284859,20.392775,-8.705126,3.8002515,-1.8810141,-51.577164,-1.4321973,-8.004965,-16.596342,9.001734,6.6427484,-15.14152,2.4221952,7.7044077,-19.579842,25.199001,-33.141205,-7.692423,-24.691408,2.7313175,33.374428,-15.640346,-4.2486176,9.298838,-23.833632,30.614237,1.2935424,-52.469646,24.0236,-30.753536,1.8476273,-19.825167,-21.90989,46.41035,10.262469,-27.638971,-17.027937,-21.32611,-15.964771,-1.1493845,-3.0290332,7.110382,7.056168,14.963268,20.39354,-7.1880054,12.480897,6.517509,-3.2683108,52.371044,-9.519897,17.038479,-35.833355,0.30465382,-25.11741,7.2307005,15.058273,26.295694,15.362248,-14.818411,22.506931,4.8047767,-27.388279,-51.864098,15.027649,-1.4020851,36.42446,-10.783858,41.48461,Ariana
-21.621887,-2.5772254,-2.9552193,4.102473,-16.93347,-26.804575,1.1382526,-14.86334,17.812695,12.117516,-9.612903,0.38486928,41.118797,-10.727962,-13.09451,7.2756877,34.71958,-8.278976,14.272197,27.052761,11.995397,-7.805993,46.981056,-10.240705,7.5229263,-2.0214615,-25.825111,41.86949,23.360079,8.423522,-5.2676225,18.503912,-1.9490325,12.197175,31.351873,-5.114791,36.186684,0.46841216,2.6981802,-8.885221,-9.203093,-19.70102,-25.120852,24.593561,32.007084,21.056406,-20.550936,-18.544992,-12.956316,-18.692833,-25.082262,-7.145061,-18.48928,20.853243,-6.0679564,-4.2233753,33.494884,-39.385777,4.169516,19.151627,1.3714403,4.8024874,-14.691512,4.621889,-12.583107,30.13492,27.210955,-6.782611,40.266098,-18.237719,11.812472,-34.697453,-24.665993,-29.404661,35.208153,-23.710463,19.278877,-45.669506,30.677212,19.857906,-26.531534,7.415237,-18.101593,-27.435312,-13.449619,-12.24464,46.770092,26.485628,-65.07764,26.881403,7.0338926,-0.81767607,6.2042494,26.700212,7.2576094,4.583644,1.9680856,-25.031948,1.8168228,-26.003902,21.544516,21.605005,-67.61674,-20.933676,9.603379,25.571556,-19.37066,1.0171934,5.1141653,-22.075956,-17.546232,-26.70286,42.125835,-13.00235,23.625036,-4.0633483,-13.492348,22.442543,7.6117997,23.925896,-22.39058,-39.725697,28.903154,18.370115,-16.440235,-19.34249,5.1120234,-16.162575,-34.380447,13.866136,16.745369,-18.323954,21.259073,-18.704641,-25.776232,30.264456,-11.686415,-34.06658,45.275787,1.1050681,17.3743,-29.435694,-26.385355,24.372444,26.720318,7.9910603,21.901148,-2.7496793,54.99873,-2.2362878,-4.298695,12.722113,-4.8585505,8.061126,11.740247,-21.839495,16.441484,30.480278,-59.38067,8.342912,9.934147,5.9954715,22.373852,-39.05162,19.015598,-7.1612625,23.036331,18.640987,21.448395,0.8198863,12.265583,27.603765,15.183934,-12.20319,-17.894085,-32.45586,-17.116653,-66.68906,-9.493669,-3.9371176,25.41697,-34.511646,-19.460123,19.75982,-33.09831,-45.003063,-23.904848,-0.24143703,5.235566,30.535887,23.5199,16.669497,Ariana
1.2344506,2.599364,-6.9419107,-18.405937,4.243839,2.5758462,8.3344755,-21.608078,11.343484,24.017117,-20.79302,4.873511,6.8077707,32.561436,48.441525,-26.979198,-31.180277,-5.4217415,35.24558,-3.575778,-12.933211,-42.768562,40.846012,10.7772455,28.622307,12.542584,32.16515,5.809286,-17.666195,-15.807541,-37.930634,15.607873,22.837378,18.275282,26.46021,12.877362,15.610698,-25.573696,13.820144,-1.2082789,-13.168556,-17.939184,-13.286003,-13.695216,-0.5027331,24.55656,-39.8698,-47.705025,-10.581097,45.28122,18.841635,24.487862,-7.5319924,23.811079,47.976643,-14.486359,19.388578,6.706268,6.8438497,-2.3591433,29.932718,3.6290815,15.952013,9.950977,90.61928,-3.356856,7.811544,12.594645,23.58257,-18.829775,-31.300098,-20.304232,9.155981,-12.082304,-1.2071207,-23.378572,-18.886232,37.815758,7.409567,24.478773,6.0961847,6.4695706,0.98052514,-43.49439,1.3098967,-23.14924,-1.589808,52.452374,17.66044,-34.650692,14.281924,-3.3332038,-5.3570423,54.84514,27.196482,-25.841318,3.1161401,8.306668,-18.602674,-43.45043,9.246244,-42.051506,24.171642,50.158672,-11.600389,35.86258,-21.875729,-19.257765,-27.855381,-13.655516,-1.6807318,17.742207,-33.92936,-7.9895854,-16.007233,14.044521,3.9953814,3.714087,-5.5733213,16.459545,-5.2830257,-13.399391,27.969767,-18.05331,22.338678,-0.3267604,-21.23881,24.097485,25.05567,-22.884329,19.294449,7.2475634,26.825998,-6.4838314,-28.393137,10.089537,-7.435399,-32.036316,30.955784,-33.44891,-16.289103,-14.2961855,18.06669,-10.458569,-27.841015,-8.540772,3.5419178,-5.211696,1.698469,-10.392045,-14.137199,24.227097,-3.0968812,11.428464,-21.690317,15.924534,7.960475,-14.082356,13.441758,-1.916173,17.763378,-12.630915,5.97713,20.871502,-17.1666,12.521465,-8.511534,30.968008,-36.998142,15.015987,-6.596616,-15.688864,31.72606,-16.020649,-37.30262,-17.528482,-0.61243135,34.92565,21.892262,-8.530923,24.182825,-36.017582,19.611732,14.686467,8.559169,-14.472037,2.7757013,24.807617,102.077675,10.393618,44.83074,-12.538884,Camila
8.038629,12.412204,-59.731144,-10.668978,-13.867699,-8.767658,41.13821,-40.8086,41.87271,2.5535474,20.119759,24.314054,28.026861,-37.6234,-54.712955,-6.437016,35.16543,19.669497,-2.7877424,19.245733,-6.4982886,-45.770023,46.28877,-1.8365829,-11.967043,-3.4813285,6.744896,19.281477,27.647324,-11.411815,5.585764,50.59673,-5.5313287,4.7187915,-8.467213,-8.811719,21.019945,-31.091227,10.017823,-31.292421,7.926958,4.720061,-31.907747,-9.119669,24.356163,27.505896,-8.608541,-22.591187,-21.079971,-12.237183,-3.0219269,-9.160786,14.417108,12.651323,-3.1700823,-16.850405,27.856941,-24.18228,22.66443,23.044802,1.1218959,-1.6552675,1.0321428,-30.662922,-20.24024,30.965034,33.604958,18.737345,4.2421455,-12.225835,-1.157684,-6.2713227,-6.0257344,-63.781815,-7.9358296,-27.827944,15.8242655,-38.122658,35.686234,22.275085,4.3818917,1.8168949,-18.646608,-8.705355,-10.895294,6.7778587,1.4814558,48.68849,-35.26879,6.5925217,-5.978798,-27.723751,5.7460666,25.8926,11.029883,15.407507,51.954044,-35.776733,-15.168932,-17.130133,67.445,3.6212208,-23.587357,-44.449795,-2.491648,30.88861,-27.877157,-13.6153145,-40.46022,-28.920095,-7.3535275,-1.785894,44.510536,21.405436,9.912495,0.4585228,2.5319529,25.33596,-7.773216,16.603832,-24.807468,0.012379315,-18.307695,2.5921216,20.742588,-7.2711616,-1.8368665,-4.4500875,-46.60329,4.5933614,-12.361279,-20.320093,9.069029,5.444919,-17.46337,6.561627,5.124436,-19.89056,24.615929,-29.28625,-5.4172053,-18.749323,5.4570436,35.997406,-10.8985815,-3.3084342,10.172871,-24.322994,30.542147,-0.29780057,-53.121204,26.676332,-30.656229,-0.72098964,-13.727297,-16.471136,42.019302,10.031227,-30.396204,-20.720507,-19.01069,-19.253803,0.11581418,-5.9368453,10.825015,4.2232594,15.887349,21.128977,-6.824439,6.6584806,7.392382,1.9301249,47.616116,-10.446673,15.154027,-43.414127,-6.381419,-24.094587,3.5502443,12.024751,25.588045,15.085157,-9.625609,20.200806,7.2360806,-25.892534,-51.706997,14.848574,-5.167104,34.701046,-16.023245,38.153507,Ariana
24.560877,32.718517,34.203327,-44.74993,25.849653,-18.46929,43.74775,-16.697998,5.8943434,-29.45832,-25.563293,-13.340356,15.604549,7.213253,-5.9091954,15.448001,-20.057467,-5.604998,11.7662525,-1.9424515,49.871796,2.266996,18.422087,53.68333,-3.7130527,-3.432129,15.8463335,-27.751198,20.389505,-5.899325,-17.788311,5.47987,-18.966194,-8.810655,9.751541,-25.590214,25.705442,-19.10448,-15.513682,12.106767,-43.273434,5.267529,14.571073,3.9076402,-6.603349,-21.20637,25.301638,5.052555,-27.034273,15.975541,4.4719834,-17.566778,-0.9276312,7.0417495,11.422779,-8.3352,-5.427077,-4.8296676,-19.11622,-21.404846,-35.031864,-16.057123,34.89872,-16.983889,14.059147,-39.523876,-1.9365474,32.677464,0.028163362,-3.88215,-8.293683,-16.776424,-22.840286,-11.717833,-15.080918,0.701858,-50.22443,-0.15407556,-0.7297431,10.850711,8.053344,21.234222,-1.5058397,28.462309,-3.5892136,-2.5949326,32.36907,9.288119,2.8169498,-6.5564632,-12.507383,8.901521,38.77058,5.5697966,1.2431738,30.464144,37.134724,24.28254,17.601711,-24.861406,-24.130287,2.8897629,-10.689098,2.706644,16.715353,-4.552737,-29.513088,14.266633,-41.256187,64.15522,-8.841949,21.461712,-10.028734,12.813468,-24.083622,7.831178,-2.7795126,26.494267,9.511622,30.793358,-27.266474,35.91892,-20.296576,32.10826,12.998068,13.413829,16.90014,-3.1640966,-5.388914,50.389004,-25.032337,15.737657,-9.996433,28.414625,-0.06107194,-3.2330868,-31.77882,-1.3334641,-0.317494,-9.06094,-4.0125985,-12.298874,21.145914,13.513235,-6.5281835,-13.8766365,-5.1925306,-14.410082,21.603907,5.1362877,17.424889,-14.900463,-10.729927,0.7397075,-7.126124,21.64041,-6.3144436,41.972218,-42.986893,53.84116,8.229267,24.9789,2.7071586,17.442642,-5.122814,-31.063362,11.196503,13.703971,-5.2486916,-1.2705759,-23.09353,55.72604,-29.832333,43.189514,-20.9348,-4.239087,-27.328274,-11.558264,-10.065295,6.0801263,-31.597702,-7.31404,1.7577714,-7.5226355,3.6490862,-13.403452,18.562426,19.524736,-28.082874,-14.8100815,-40.641632,-19.768423,AndresCalzada
-23.292843,14.9776125,20.38624,15.234995,26.873493,14.043273,43.378624,53.462093,-23.817703,-29.188848,-16.845463,55.612812,18.826063,-5.891714,-3.8285298,14.158241,-2.0107996,12.780064,-6.724172,-10.895204,31.893663,19.661894,63.921104,4.2610664,-25.403214,19.020365,29.533138,-39.089035,-15.696726,-0.2229005,-11.444299,-45.75291,5.99118,10.996937,11.938833,23.921967,50.43703,9.44197,19.902838,-14.009522,21.221888,-27.034023,-1.4479858,-19.579193,-32.18603,6.169037,7.951581,-13.465432,-30.561037,-24.111866,-7.9200063,35.252476,-42.83358,49.384773,52.272594,-23.055971,-25.385046,-19.651941,-19.52579,12.587158,-16.289427,-3.1391618,-10.594204,-61.728336,-12.8741,-3.419006,-28.792334,20.488558,-21.509426,-15.060735,-6.7516565,37.139008,25.03957,45.681866,18.89326,-5.2012463,1.7761565,-10.567317,-26.851706,26.092535,29.798002,10.451296,-13.94424,28.238092,-6.4416966,-17.937609,3.1361036,-14.170235,-12.3626,34.32275,-15.058872,27.382048,-37.830914,55.83544,-19.674414,4.6419153,-1.0816952,60.596798,-3.5124595,-16.476658,28.823498,35.985348,-63.94918,14.578248,-39.339836,-14.780995,-31.782433,-8.710926,-25.746943,36.123466,-16.547924,40.09907,3.8199399,87.028694,-48.627605,-40.886932,-26.82007,27.084007,40.556976,17.686974,-56.341755,11.782337,-16.466183,-18.10562,26.281536,2.5535467,0.11479515,7.3824396,-15.568722,-6.0374165,-79.39801,12.761927,5.748012,9.143022,-9.427698,15.747129,-68.90503,23.003197,-18.840956,-10.898033,2.2669983,19.724482,29.532866,11.211884,-30.96478,9.433581,-24.326374,16.642063,13.239436,-2.0842357,20.243511,42.205986,-34.4822,6.2060885,-14.511327,10.105484,5.3837266,31.09982,3.292351,15.315329,56.618046,40.28464,-55.16581,-5.459946,20.725027,-16.937847,-3.2862911,27.978832,15.801093,10.560477,-28.827969,35.070656,-10.839246,-22.014536,-53.355225,-10.197649,-20.789637,3.4057853,-1.2394563,9.570264,28.593512,17.87865,-5.3671885,19.266851,-10.447791,-24.387428,38.29825,-32.4907,-27.576637,-11.5978775,-45.169804,-17.130692,AndresCalzada
6.3204546,10.949296,-61.28974,-11.687096,-16.606108,-9.321192,44.80806,-42.7684,43.686657,1.4391743,20.383484,25.89542,34.4516,-36.66042,-61.922146,-9.814561,37.079086,20.923883,0.6634639,18.065357,-2.6272483,-44.405075,48.84107,-1.45451,-9.674896,-3.6443992,4.6500754,25.08675,30.751019,-9.028402,9.286249,54.988964,-4.828805,6.4755654,-9.859432,-4.5059032,19.818533,-30.760136,8.151921,-35.021305,6.4492984,6.3525996,-33.513294,-9.937593,23.518923,28.66052,-9.277493,-16.45891,-19.49329,-12.807004,-5.680023,-7.4413753,13.669769,11.943177,-0.55849487,-19.330744,27.708105,-20.80659,28.405754,22.903063,0.19768927,-3.8967369,0.89626104,-34.520164,-23.014023,32.70874,41.91989,14.073155,1.5875443,-9.176522,0.94345844,-4.5185513,-7.6859813,-71.77475,-5.012309,-27.64345,17.600462,-39.45576,33.19183,22.12515,7.877886,2.2223263,-20.979292,-8.2542925,-14.871165,7.6545753,-1.9883509,49.698254,-35.62778,5.203238,-13.0493765,-24.943613,1.0703744,23.898577,10.52184,20.63278,53.063313,-32.427666,-11.4966135,-18.014608,65.92397,6.577693,-21.041235,-45.652122,-6.5496006,30.022017,-31.879719,-15.059907,-36.315937,-32.803467,-6.8282514,-2.6971078,43.407673,23.13355,7.2143555,-3.523633,8.636357,24.390926,-7.73694,16.565727,-25.02037,-4.3179836,-20.114754,-2.1567445,22.403198,-9.512705,-3.5827425,-5.298892,-48.21015,5.123395,-15.681105,-17.148,8.122091,2.3187106,-18.7723,4.332837,3.9662895,-20.728344,27.162106,-30.550528,-3.6644459,-20.661465,3.299284,35.11331,-11.586561,-1.6025425,12.130709,-21.198044,29.095526,1.2176299,-55.341248,26.659843,-29.377205,2.9084868,-13.062555,-21.146917,47.80057,14.701782,-30.403736,-16.29362,-19.349007,-18.84597,2.2213402,-8.540967,10.752911,1.6634558,15.419707,17.128548,-4.098875,11.106417,7.553725,4.649982,51.051395,-10.144691,17.287127,-40.71182,-4.7279606,-23.111143,4.004449,16.661972,28.0025,8.843358,-7.957913,18.516045,5.6997285,-29.4213,-50.45497,19.172749,-9.554004,41.38295,-17.529844,40.774876,Ariana
8.767086,34.901287,23.92479,20.857359,-19.616621,-5.8652897,7.5330067,38.82309,-25.365398,-10.083725,17.266396,38.329426,16.5415,-23.80834,7.769546,5.965226,30.780016,-19.556765,-19.987738,14.469456,8.12233,15.56681,49.42716,18.295181,0.027000846,3.8056064,11.653624,-0.88071465,-9.283058,20.670738,-2.2030885,-17.228617,14.2137,6.550671,-16.45541,10.97927,32.77401,14.929366,6.391044,-0.01854931,-30.710556,-22.888874,25.692257,-8.836202,-42.429455,19.48957,30.097149,-4.6777554,-4.994659,-15.911817,25.502913,5.659038,5.0273733,2.7446527,24.06507,21.897429,-22.652617,-19.10662,-7.0430455,-20.398678,9.37615,-3.6694057,-1.1195431,-41.570538,9.71682,-9.91259,30.616835,17.71882,-55.038597,-19.545458,14.242772,33.628338,8.40566,12.017107,-3.8892956,32.156044,3.092134,-13.823464,4.982826,48.694542,31.7312,-0.28606468,-25.887148,12.149821,-4.0583487,27.326824,18.02276,30.94264,-31.236925,70.27298,-8.384665,30.844547,-17.927402,12.800217,7.0719037,11.055632,18.791103,-1.9149948,-27.506983,-29.620659,26.508177,-7.935802,-20.437727,0.38176498,25.622772,30.579208,-31.303932,12.395749,-36.015236,8.826899,-29.117386,19.865118,-42.992165,45.669346,-12.79795,-32.85965,29.065804,-10.046882,43.22249,7.805683,-20.684305,4.551903,-0.48460993,5.8204494,-19.782078,-10.480388,8.614317,-18.926773,15.718802,0.53949547,-42.059715,11.152769,24.746717,-4.8387604,-0.37884265,-11.4850445,-1.7118162,-4.9561915,-2.3944697,33.623997,13.256596,26.7567,22.379066,16.407328,-0.65510696,19.884443,-6.4380445,22.502527,-16.42397,-6.2314143,17.577518,6.108634,12.632274,22.720552,-15.900986,4.9891124,13.077614,7.7768703,-10.449904,-3.9540808,26.562122,46.34901,-1.7205577,24.650831,-35.188343,13.970519,5.2758274,-3.703425,8.324941,-26.886864,-10.861984,47.19411,-26.960245,9.320178,-54.218468,-41.798485,-26.753992,16.962315,-31.779593,18.882334,-28.121027,10.863891,-8.778883,5.7360806,1.6132381,11.296517,-7.7123923,2.073513,6.3175526,-12.696227,-32.785583,-20.12363,AndresCalzada
-1.3318498,-3.2595193,-6.7652864,-18.080479,3.019248,3.4574618,8.947396,-22.109198,12.294937,24.35266,-20.129904,3.4693782,7.2250733,37.065266,44.06646,-24.028767,-30.235346,-2.4731958,36.736237,-5.6601524,-10.765458,-44.541817,40.56429,8.687832,21.23442,6.525665,34.88751,6.585063,-16.725298,-18.409794,-37.190178,14.845659,25.149551,19.920202,29.537367,11.099938,16.603872,-25.08502,11.916463,0.9802109,-15.240678,-20.098051,-10.828759,-13.541892,-3.4568515,25.47181,-35.292435,-48.54013,-12.936041,45.99667,17.219263,26.208593,-7.05156,24.712534,48.68922,-15.105799,18.41217,6.974197,5.167887,-3.0342875,25.819061,4.7961607,13.612168,8.834063,90.36418,-6.4404483,8.0322695,14.759912,21.710386,-20.401928,-35.449615,-23.957493,5.248874,-12.676786,1.144754,-24.628817,-20.607012,37.809563,5.1386366,22.394104,8.244201,7.497424,2.4405253,-38.492416,1.5060794,-25.361181,-4.6275167,53.913555,18.845228,-34.98914,15.822017,-5.06747,-8.305195,50.475216,32.890026,-24.531975,3.67681,8.414738,-19.946575,-46.392063,11.188639,-42.172447,23.588205,55.240406,-9.18311,35.487408,-20.60069,-10.96146,-24.09053,-17.233646,-0.7532187,17.833456,-32.244408,-3.9130726,-19.166893,18.451017,1.2178525,6.2589912,-6.590282,17.256947,-6.298102,-13.263558,25.898369,-19.866331,23.753992,1.6416925,-19.512968,22.387337,27.710415,-23.517653,17.31445,10.624407,27.025995,-8.580544,-23.172232,9.59324,-7.046539,-33.81159,31.388678,-31.358488,-13.710269,-13.472119,20.47351,-3.7619011,-29.584028,-5.374626,4.015047,-8.648783,4.633162,-9.815516,-13.516374,23.098337,-4.3379526,15.10476,-25.09023,15.95906,11.089132,-15.663361,10.710291,-7.5162187,14.929296,-15.547601,3.4924872,19.148132,-19.89017,15.203324,-8.590261,30.317636,-34.027042,12.583209,-8.171726,-15.925189,30.93826,-14.140217,-37.672127,-12.334437,-4.703038,33.52085,20.50008,-6.3703628,27.328745,-32.28008,16.142342,15.418088,7.679956,-13.205999,5.436829,26.049927,104.26716,9.081974,46.077183,-12.209239,Camila
