MFCC_1_mean,MFCC_2_mean,MFCC_3_mean,MFCC_4_mean,MFCC_5_mean,MFCC_6_mean,MFCC_7_mean,MFCC_8_mean,MFCC_9_mean,MFCC_10_mean,MFCC_11_mean,MFCC_12_mean,MFCC_13_mean,MFCC_1_std,MFCC_2_std,MFCC_3_std,MFCC_4_std,MFCC_5_std,MFCC_6_std,MFCC_7_std,MFCC_8_std,MFCC_9_std,MFCC_10_std,MFCC_11_std,MFCC_12_std,MFCC_13_std,Mel_1_mean,Mel_2_mean,Mel_3_mean,Mel_4_mean,Mel_5_mean,Mel_6_mean,Mel_7_mean,Mel_8_mean,Mel_9_mean,Mel_10_mean,Mel_11_mean,Mel_12_mean,Mel_13_mean,Mel_14_mean,Mel_15_mean,Mel_16_mean,Mel_17_mean,Mel_18_mean,Mel_19_mean,Mel_20_mean,Mel_21_mean,Mel_22_mean,Mel_23_mean,Mel_24_mean,Mel_25_mean,Mel_26_mean,Mel_27_mean,Mel_28_mean,Mel_29_mean,Mel_30_mean,Mel_31_mean,Mel_32_mean,Mel_33_mean,Mel_34_mean,Mel_35_mean,Mel_36_mean,Mel_37_mean,Mel_38_mean,Mel_39_mean,Mel_40_mean,Mel_1_std,Mel_2_std,Mel_3_std,Mel_4_std,Mel_5_std,Mel_6_std,Mel_7_std,Mel_8_std,Mel_9_std,Mel_10_std,Mel_11_std,Mel_12_std,Mel_13_std,Mel_14_std,Mel_15_std,Mel_16_std,Mel_17_std,Mel_18_std,Mel_19_std,Mel_20_std,Mel_21_std,Mel_22_std,Mel_23_std,Mel_24_std,Mel_25_std,Mel_26_std,Mel_27_std,Mel_28_std,Mel_29_std,Mel_30_std,Mel_31_std,Mel_32_std,Mel_33_std,Mel_34_std,Mel_35_std,Mel_36_std,Mel_37_std,Mel_38_std,Mel_39_std,Mel_40_std,Chroma_1_mean,Chroma_2_mean,Chroma_3_mean,Chroma_4_mean,Chroma_5_mean,Chroma_6_mean,Chroma_7_mean,Chroma_8_mean,Chroma_9_mean,Chroma_10_mean,Chroma_11_mean,Chroma_12_mean,Chroma_1_std,Chroma_2_std,Chroma_3_std,Chroma_4_std,Chroma_5_std,Chroma_6_std,Chroma_7_std,Chroma_8_std,Chroma_9_std,Chroma_10_std,Chroma_11_std,Chroma_12_std,Label
-212.55138,118.92091,22.100372,10.679509,3.2894602,10.784046,-29.772207,-6.628363,-15.671675,4.246091,-6.0962625,-3.5110877,-3.6822052,139.213,44.1292,27.049408,19.774801,16.59683,10.393033,29.571033,10.455388,14.679898,9.519224,8.508329,7.8911753,6.972709,6.0885153,28.93973,46.111553,36.11446,61.724854,60.33248,39.313522,43.97094,38.37827,3.4410388,0.9014294,0.6805937,0.40621954,0.6031462,0.43106985,0.7981438,0.9040913,3.4254138,2.370415,0.9129441,0.75167435,0.17643529,0.036541004,0.01820318,0.0600536,0.20063266,0.03856584,0.008009138,0.0040865587,0.012703448,0.108147755,0.22440375,0.07861537,0.067771904,0.17146148,0.2399132,0.12199969,0.055015758,0.017815003,0.0015560379,18.067804,66.49263,81.73417,80.5818,131.47186,101.00044,72.54324,125.18143,96.69319,9.863868,2.0049813,1.5736706,0.82150275,1.2077215,1.1925378,2.5897603,2.3372774,9.65711,6.15296,1.6819402,1.8666921,0.42909408,0.0833594,0.031205347,0.11861607,0.39315394,0.08450409,0.014115947,0.0065515526,0.023954656,0.2879316,0.58735836,0.14905095,0.18876998,0.5224929,0.53510475,0.2710932,0.15452418,0.04950572,0.0036338426,0.24828224,0.13177103,0.20045783,0.34079564,0.2908552,0.20815903,0.20751733,0.26509553,0.24886212,0.37813616,0.71388805,0.57451344,0.24999611,0.13761045,0.19238476,0.34258118,0.2884993,0.21229972,0.21714416,0.28838122,0.23873985,0.27613482,0.36051422,0.3217724,AndresCalzada
-218.92589,124.341446,20.478107,5.135116,1.6878886,12.166614,-37.450535,-8.088643,-14.8574705,6.538977,-6.1129937,-4.4825597,-3.9773114,135.02484,41.235703,25.83765,17.757072,16.55757,11.596391,26.513073,11.27445,15.159703,9.711526,10.01996,7.7054214,6.975463,2.6002665,11.198154,24.173616,17.369719,29.975212,32.167294,21.248257,20.382841,19.641363,1.2432623,0.4439269,0.3715806,0.23327743,0.35505167,0.23669204,0.38825467,0.46540153,2.0603325,1.5301127,0.4626118,0.4022146,0.093678385,0.01770571,0.008773611,0.031160565,0.10777378,0.018491441,0.0037214004,0.0020553328,0.006437434,0.05623141,0.10834195,0.04107651,0.03687334,0.09999535,0.13783896,0.06785725,0.029796472,0.008607473,0.00075934886,4.7152777,16.03146,46.297585,38.258198,61.596493,52.089985,32.70239,43.48963,40.76,2.312755,0.77215797,0.70977086,0.40540263,0.55664796,0.53849715,0.9063925,1.0931832,5.408686,3.5567594,0.6607433,0.8034255,0.17637816,0.027897485,0.011256903,0.056852534,0.18461603,0.030626899,0.004875308,0.0028024307,0.009626904,0.118080534,0.22480367,0.06438229,0.09222939,0.29327533,0.2812215,0.12716725,0.07532549,0.020017698,0.001492069,0.34454292,0.16191307,0.14549042,0.35194585,0.39962307,0.25724274,0.1913537,0.23427908,0.23875569,0.29619065,0.5806985,0.59970796,0.28403303,0.20218335,0.11806395,0.32633322,0.3631574,0.25143516,0.19257875,0.26496914,0.23956901,0.25544664,0.3365793,0.36530623,AndresCalzada
-124.97025,60.22982,24.737747,9.38688,4.8528013,1.174944,-20.835691,-10.504709,-7.714806,0.976641,-3.3207347,-5.3111043,-1.3566604,68.34201,39.700607,16.859632,16.577389,9.789442,8.888948,21.731419,14.187136,12.372686,8.170317,7.673538,6.990406,5.578812,6.111808,28.957994,46.24665,36.210556,61.81619,60.33222,39.403984,44.017147,38.41176,3.4713712,0.9115682,0.6917634,0.42433447,0.61734486,0.43667328,0.79969865,0.91577977,3.4323895,2.3795438,0.9239261,0.75751173,0.18713419,0.050441395,0.031071521,0.07111027,0.21056136,0.049725562,0.020964922,0.01627374,0.024438055,0.1150505,0.23154524,0.08798708,0.07511314,0.1708331,0.23449656,0.121424444,0.059627067,0.027853398,0.014392812,18.098576,66.5211,81.97072,80.676285,131.94305,101.13769,72.813705,125.271866,96.5927,9.902323,1.989244,1.5916181,0.84046227,1.2228606,1.1549941,2.5414956,2.3318446,9.645137,6.1571913,1.6812845,1.8580371,0.42334017,0.08856808,0.032960527,0.11607975,0.38859436,0.081380256,0.013988762,0.0068723042,0.020959688,0.2705882,0.56956977,0.14603116,0.1732063,0.4816667,0.49863344,0.24014689,0.13408862,0.042955805,0.004121064,0.4332907,0.23483048,0.18080962,0.33313775,0.40462226,0.31093332,0.24211293,0.29056737,0.30737954,0.3326447,0.5578342,0.7084213,0.273414,0.2134481,0.13255814,0.28396896,0.32336235,0.24344666,0.17205006,0.26371136,0.24588832,0.2574318,0.30405295,0.353249,AndresCalzada
-219.94081,127.35577,20.022943,6.545346,2.402173,12.495064,-36.501823,-9.102294,-13.536328,6.133575,-5.372692,-5.8156466,-4.1565013,135.91522,36.703587,27.424229,17.20711,16.539988,10.751813,27.17418,10.941273,15.266316,10.071425,9.972081,6.0733075,7.6018686,3.0043433,9.340981,20.086452,20.447014,38.537205,35.55509,23.981432,31.777626,23.501041,2.3270533,0.5358073,0.417192,0.22091885,0.37412018,0.21635197,0.4346846,0.50873524,2.1142008,1.526539,0.5125482,0.44869217,0.09519478,0.019744402,0.009857729,0.033349346,0.10690584,0.020734118,0.004348565,0.0020739832,0.006218058,0.056969948,0.13248552,0.044251665,0.037870213,0.09805553,0.106345296,0.058241032,0.025536682,0.008317236,0.0006885464,5.2327275,10.79521,33.591618,41.097942,81.826706,57.91634,40.533993,92.170784,55.849255,6.4032073,0.98939073,0.834854,0.33205175,0.6183323,0.44908285,1.1052042,1.15209,4.9337635,3.2689612,0.7056302,0.9060076,0.17727132,0.03584769,0.016303448,0.061256498,0.1770842,0.041918077,0.006872631,0.0033918857,0.010529436,0.12824225,0.29718298,0.0671831,0.09354727,0.2778865,0.21106872,0.1243522,0.06280018,0.019658688,0.0014674921,0.4136831,0.20041507,0.12574448,0.29458365,0.41547722,0.30320507,0.19542283,0.20547703,0.22272341,0.2477855,0.45336813,0.63693464,0.2774484,0.25908172,0.11989722,0.29550388,0.36076316,0.31820065,0.2040263,0.2255354,0.2382442,0.23375884,0.2934087,0.3577464,AndresCalzada
-250.66833,136.86363,11.328389,26.968056,-13.761572,34.534878,-28.695835,-4.8198614,-21.567242,-2.2066832,-2.0077994,1.9787319,-10.893197,127.31924,39.076332,24.525938,23.239342,23.913767,15.628202,29.781683,18.611654,17.168762,7.3336945,10.120158,7.255961,8.345785,3.7545867,10.136177,10.863455,19.340128,22.963596,18.675798,24.249197,11.817423,0.6852141,0.3377175,0.23069364,0.32122916,0.2533951,0.44992346,0.36923364,1.5138423,1.1097943,0.4653199,0.40494496,0.08019856,0.01727302,0.009653669,0.035794243,0.11154565,0.016808627,0.0035546503,0.0018896619,0.0057067894,0.044270575,0.08503371,0.03564021,0.03211343,0.08620396,0.103501886,0.050329793,0.023107665,0.006504822,0.0005995196,1.9866204e-05,1.1502248e-08,6.02969,13.283736,13.594249,42.222237,35.153275,29.067162,56.98395,23.396818,1.4426423,0.60518,0.43303606,0.55484575,0.7273434,1.2232518,0.8186795,3.4046621,2.0655646,0.8719016,0.8730985,0.17038934,0.029174745,0.014579484,0.06140051,0.18832506,0.028116835,0.005423414,0.0026371004,0.008284155,0.08545975,0.1646486,0.056149676,0.07559444,0.22515658,0.19578715,0.092076115,0.05449778,0.015253133,0.0012043796,4.4546956e-05,2.083482e-08,0.38343722,0.350166,0.2289426,0.19090031,0.25942788,0.23879322,0.38361734,0.68907464,0.54466033,0.29854265,0.1451971,0.21489206,0.3436407,0.29866093,0.22161078,0.16791198,0.26123077,0.20626236,0.26526085,0.3643837,0.3193665,0.23951308,0.13770887,0.1793908,AndresCalzada
-178.74623,82.61784,23.730927,7.78526,2.5803347,-4.6456666,-30.671478,-5.0685043,-9.581262,4.870802,-9.483968,-0.81792516,-1.4987814,84.28622,33.750107,20.912544,19.34944,10.240942,11.181271,22.944347,8.005783,14.265075,8.184587,7.830867,8.387703,6.099174,2.8610065,7.005424,15.383408,13.298717,35.90307,25.995052,26.958477,12.384145,31.851074,9.326848,0.6781669,0.39613414,0.28232124,0.19063276,0.2559277,0.13493149,0.28069475,0.3369872,1.8377254,1.0292879,0.35187057,0.3055495,0.071201764,0.017631784,0.008773003,0.02946218,0.07376535,0.0148774525,0.004058225,0.0033010533,0.007826115,0.05262791,0.09342992,0.028602835,0.029752502,0.08270467,0.102931485,0.046730746,0.022141846,0.006014584,7.8381867,12.589561,29.893906,22.41356,98.19852,48.720043,54.745186,22.631458,76.26325,23.817223,1.6621846,0.8278321,0.63745594,0.33081523,0.46536162,0.23203929,0.6837576,0.6871743,4.405468,2.4616373,0.5411136,0.62706417,0.14851391,0.03053953,0.009554155,0.049949996,0.12000068,0.024007242,0.0044726087,0.0025261817,0.013058285,0.11528161,0.19732788,0.047093026,0.07016447,0.21375537,0.20620544,0.08855489,0.0511574,0.013331203,0.63154614,0.4148308,0.22342855,0.14879805,0.31044182,0.44740686,0.33792338,0.20034863,0.21406749,0.31069785,0.29910022,0.46672145,0.36399254,0.2616201,0.23572162,0.107338324,0.256819,0.36132273,0.29566875,0.18157734,0.22563542,0.30759937,0.259804,0.26470146,AndresCalzada
-238.65234,133.58258,14.340039,23.02365,-5.9098334,24.936556,-30.625635,-3.05291,-20.287592,3.746942,-3.0758753,2.262004,-11.745021,127.93431,38.662,20.745739,18.230103,19.827969,12.263882,29.605492,16.523405,17.345327,8.171946,12.181608,5.433264,9.170266,5.0522704,16.724356,15.356212,14.80678,30.988256,29.814667,18.23794,25.609901,3.0096474,0.5557614,0.41579252,0.1993256,0.2334036,0.20783673,0.36269906,0.48527107,2.6403377,1.0261782,0.36394608,0.21452521,0.03832183,0.01407502,0.010454913,0.043548595,0.08408954,0.013448486,0.0040487964,0.0028341196,0.009554465,0.07332261,0.11465064,0.030491458,0.037148297,0.08201915,0.113489896,0.049848225,0.024874534,0.004900507,0.0004325447,3.2721215e-05,13.43779,34.511017,26.480774,30.899868,58.782803,48.24476,41.36378,64.97453,8.496399,1.2326119,0.9229274,0.38463053,0.44928807,0.38690817,0.78804386,1.1447892,8.608039,2.998972,0.60038984,0.39978808,0.057046004,0.021852288,0.014267056,0.074992344,0.13840276,0.023923034,0.0071981726,0.0045756353,0.016587097,0.14632463,0.2518555,0.052670784,0.10688283,0.21306716,0.23458819,0.1047682,0.07048745,0.01158521,0.00085816503,0.00015265755,0.16637197,0.32781842,0.34330934,0.23919028,0.2028875,0.2640046,0.22841823,0.29848886,0.55632657,0.6897936,0.35418677,0.1793005,0.15719216,0.33783793,0.34740743,0.2151825,0.18337582,0.27276498,0.20680204,0.2183277,0.2844617,0.35776365,0.24572779,0.1995128,AndresCalzada
-222.00154,118.346436,9.835849,-0.30555356,0.6327067,-21.923475,-25.198841,-1.5709586,-8.934819,1.5234952,-10.122302,-0.31604052,0.12014519,134.17567,27.078161,24.958094,13.161448,13.698752,23.651024,18.487127,8.934901,10.655677,6.4725566,8.9790945,8.927536,6.5725675,1.7068956,16.358706,10.352223,15.556452,13.508771,16.215708,47.228016,44.717377,8.632129,7.105013,5.503602,0.6955166,0.25642318,0.25770688,0.1712972,0.15880671,0.13081245,0.31591588,0.18646467,0.4671009,0.85548747,0.49150532,0.2868611,0.11850991,0.024635613,0.018241195,0.040010672,0.038747136,0.013881644,0.0028221924,0.0011109574,0.0023879567,0.021338945,0.03559426,0.011998497,0.015705964,0.030756736,0.02104116,0.017281057,0.0071104607,4.496067,28.488651,18.337788,23.661577,21.40093,29.2875,78.17907,66.1638,17.538107,12.862248,13.007285,1.283197,0.46370262,0.44578838,0.33996898,0.2813856,0.22832799,1.1556131,0.45914936,1.1739138,1.6163647,0.94196135,0.5063867,0.3868969,0.06383484,0.035963405,0.0838043,0.058601715,0.028463773,0.0048540616,0.0019053873,0.0044798264,0.04106194,0.064218886,0.027114362,0.04569035,0.09043661,0.03477716,0.027182562,0.013232964,0.3542836,0.64447266,0.72531366,0.42006826,0.26788333,0.1924747,0.21079168,0.28079677,0.27109784,0.24502176,0.21846995,0.25228563,0.2816029,0.2828097,0.30974796,0.28286642,0.2987151,0.23801069,0.18452267,0.25563908,0.2617192,0.2486586,0.2358037,0.22273754,AndresCalzada
-199.0535,116.64213,34.72663,1.1415728,7.0646935,-21.73826,-13.718947,-1.9611709,-8.946756,-0.59179264,-15.564084,-1.755723,-0.13082235,139.34767,36.048447,19.836212,12.903477,9.623,18.536417,11.786144,8.210707,7.5767326,6.034764,5.7138715,7.2173758,6.5812454,4.4063163,32.651203,12.706381,24.44518,10.679672,10.658839,23.365723,8.227175,5.034624,3.0233276,2.3434973,0.72803074,0.38249704,0.19895408,0.06407648,0.07048763,0.06978125,0.048287116,0.04320496,0.12286175,0.13542616,0.2595003,0.10084049,0.026468853,0.012405498,0.02655603,0.05988607,0.033884287,0.011129151,0.0071890913,0.0032002411,0.005778572,0.022513019,0.021058844,0.02663279,0.06850711,0.18576217,0.13227887,0.15152341,0.08419271,7.3089128,40.79652,14.100528,37.92587,19.074804,11.800423,27.764044,8.780261,7.5566783,4.120201,4.208216,1.194193,0.49569136,0.2593161,0.06357836,0.08132631,0.13823651,0.07493175,0.059559274,0.1706897,0.16166888,0.40157032,0.114258826,0.036589496,0.01403514,0.03147701,0.08120634,0.044730436,0.018945592,0.013350795,0.0045773983,0.010206742,0.034178097,0.026215082,0.04774599,0.1282579,0.33737087,0.22703438,0.22967066,0.13680544,0.54540956,0.8430188,0.61964625,0.34837243,0.29971823,0.3336283,0.25521207,0.2556732,0.2962115,0.19020738,0.18063289,0.2569585,0.27594846,0.22496606,0.3280855,0.28006145,0.31315857,0.33845955,0.23864366,0.18531176,0.18004707,0.18682463,0.20231195,0.2004922,AndresCalzada
-207.82608,69.589424,15.298697,0.079527386,-4.3396316,-21.23682,-18.11043,-6.2116523,-5.6162333,1.8467175,-8.7943945,-2.8951855,-1.8764193,103.07879,39.571583,24.356907,14.753935,8.891942,20.683569,13.018355,10.040393,9.600278,5.5301046,8.097979,6.714451,6.3635945,0.32427058,5.828239,5.224243,6.392038,7.132624,5.478259,22.793623,29.487453,0.97216743,31.443886,14.862528,0.49082837,0.46682262,0.19437669,0.072271794,0.109426074,0.16509855,0.26408073,0.111313105,0.18626514,0.85397047,0.44199547,0.0657089,0.029692093,0.014612701,0.014173047,0.034501012,0.02351301,0.011090739,0.0036666226,0.0027405845,0.0032318048,0.006337941,0.010707371,0.0058629387,0.0061835716,0.009763975,0.014376191,0.015607804,0.010767484,0.6677005,8.271563,7.479795,13.355604,10.446744,7.912734,58.9095,59.873806,1.3257698,107.10347,45.09267,1.1811523,1.2345049,0.38196892,0.11227579,0.23537423,0.37927118,0.6003635,0.2673298,0.39014843,2.4651387,1.4455578,0.1216045,0.052362874,0.023752682,0.017914727,0.052634794,0.0328615,0.018305633,0.002107936,0.0014949234,0.0026607886,0.0069396812,0.01386341,0.0054879584,0.0051617688,0.013067534,0.01985279,0.021885335,0.01337518,0.2677133,0.5345243,0.6625463,0.36370417,0.22812586,0.18558313,0.2611717,0.38904187,0.31734306,0.32605496,0.29145926,0.2530058,0.2864054,0.3562601,0.32693407,0.28884637,0.28892612,0.23186627,0.21579437,0.3440435,0.2743767,0.323891,0.32369342,0.29213005,AndresCalzada
